model,square_id,device,n_seeds,train_wall_s,train_wall_std,inference_wall_s,inference_ms_per_step,n_params
persistence,5161,cpu,1,0.0,0.0,0.0,0.0,0
seasonal_naive,5161,cpu,1,0.0,0.0,0.0,0.0,0
harmonic_arima,5161,cpu,1,16.664,0.0,125.0063,86.8099,22
lstm,5161,cuda,3,9.116,0.092,0.0555,0.0385,202369
lightgbm,5161,cpu,1,0.84,0.0,0.0212,0.0147,19639
persistence,4159,cpu,1,0.0,0.0,0.0,0.0,0
seasonal_naive,4159,cpu,1,0.0,0.0,0.0,0.0,0
harmonic_arima,4159,cpu,1,33.824,0.0,126.6187,87.9296,22
lstm,4159,cuda,3,9.16,0.055,0.0542,0.0376,202369
lightgbm,4159,cpu,1,0.883,0.0,0.0183,0.0127,20362
persistence,4556,cpu,1,0.0,0.0,0.0,0.0,0
seasonal_naive,4556,cpu,1,0.0,0.0,0.0,0.0,0
harmonic_arima,4556,cpu,1,19.206,0.0,126.9197,88.1387,22
lstm,4556,cuda,3,9.186,0.041,0.0558,0.0387,202369
lightgbm,4556,cpu,1,0.896,0.0,0.0197,0.0137,21010
lstm_ensemble,5161,cuda,3,27.348,0.0,0.1665,0.1156,607107
lstm_ensemble,4159,cuda,3,27.48,0.0,0.1626,0.1129,607107
lstm_ensemble,4556,cuda,3,27.558,0.0,0.1674,0.1163,607107
