square_id,model,start,stop,n_steps,mae,persistence_mae,ratio_to_persistence
5161,persistence,2013-12-29T14:10:00.000000000,2013-12-29T20:00:00.000000000,36,201.83,201.83,1.0
5161,persistence,2013-12-23T09:50:00.000000000,2013-12-23T15:40:00.000000000,36,198.51,198.51,1.0
5161,persistence,2013-12-27T15:00:00.000000000,2013-12-27T20:50:00.000000000,36,147.804,147.804,1.0
5161,seasonal_naive,2013-12-25T11:40:00.000000000,2013-12-25T17:30:00.000000000,36,2151.559,33.821,63.617
5161,seasonal_naive,2013-12-27T11:50:00.000000000,2013-12-27T17:40:00.000000000,36,2086.15,136.495,15.284
5161,seasonal_naive,2013-12-24T12:30:00.000000000,2013-12-24T18:20:00.000000000,36,1810.353,126.573,14.303
5161,harmonic_arima,2013-12-29T14:10:00.000000000,2013-12-29T20:00:00.000000000,36,232.199,201.83,1.15
5161,harmonic_arima,2013-12-23T10:40:00.000000000,2013-12-23T16:30:00.000000000,36,197.927,184.462,1.073
5161,harmonic_arima,2013-12-24T13:50:00.000000000,2013-12-24T19:40:00.000000000,36,197.099,142.952,1.379
5161,lightgbm,2013-12-27T12:10:00.000000000,2013-12-27T18:00:00.000000000,36,646.204,129.02,5.009
5161,lightgbm,2013-12-24T13:10:00.000000000,2013-12-24T19:00:00.000000000,36,277.915,131.678,2.111
5161,lightgbm,2013-12-23T10:50:00.000000000,2013-12-23T16:40:00.000000000,36,273.838,177.588,1.542
5161,lstm,2013-12-23T11:30:00.000000000,2013-12-23T17:20:00.000000000,36,401.997,179.7,2.237
5161,lstm,2013-12-26T11:50:00.000000000,2013-12-26T17:40:00.000000000,36,338.872,89.171,3.8
5161,lstm,2014-01-01T12:50:00.000000000,2014-01-01T18:40:00.000000000,36,335.052,69.877,4.795
4159,persistence,2013-12-27T14:40:00.000000000,2013-12-27T20:30:00.000000000,36,18.057,18.057,1.0
4159,persistence,2013-12-23T08:50:00.000000000,2013-12-23T14:40:00.000000000,36,18.023,18.023,1.0
4159,persistence,2013-12-30T08:50:00.000000000,2013-12-30T14:40:00.000000000,36,17.957,17.957,1.0
4159,seasonal_naive,2013-12-23T09:00:00.000000000,2013-12-23T14:50:00.000000000,36,97.642,17.8,5.486
4159,seasonal_naive,2013-12-24T09:00:00.000000000,2013-12-24T14:50:00.000000000,36,91.499,10.748,8.513
4159,seasonal_naive,2013-12-24T15:00:00.000000000,2013-12-24T20:50:00.000000000,36,64.274,14.175,4.534
4159,harmonic_arima,2013-12-30T09:20:00.000000000,2013-12-30T15:10:00.000000000,36,17.484,17.135,1.02
4159,harmonic_arima,2013-12-23T09:10:00.000000000,2013-12-23T15:00:00.000000000,36,16.86,17.925,0.941
4159,harmonic_arima,2013-12-27T14:40:00.000000000,2013-12-27T20:30:00.000000000,36,16.238,18.057,0.899
4159,lightgbm,2014-01-01T06:20:00.000000000,2014-01-01T12:10:00.000000000,36,46.928,4.799,9.778
4159,lightgbm,2013-12-30T01:20:00.000000000,2013-12-30T07:10:00.000000000,36,46.811,6.113,7.657
4159,lightgbm,2013-12-26T03:50:00.000000000,2013-12-26T09:40:00.000000000,36,45.656,6.906,6.611
4159,lstm,2013-12-23T09:10:00.000000000,2013-12-23T15:00:00.000000000,36,44.873,17.925,2.503
4159,lstm,2013-12-30T09:20:00.000000000,2013-12-30T15:10:00.000000000,36,36.43,17.135,2.126
4159,lstm,2013-12-24T10:30:00.000000000,2013-12-24T16:20:00.000000000,36,35.439,12.792,2.77
4556,persistence,2013-12-25T19:10:00.000000000,2013-12-26T01:00:00.000000000,36,58.214,58.214,1.0
4556,persistence,2013-12-23T13:00:00.000000000,2013-12-23T18:50:00.000000000,36,40.005,40.005,1.0
4556,persistence,2013-12-23T19:10:00.000000000,2013-12-24T01:00:00.000000000,36,38.791,38.791,1.0
4556,seasonal_naive,2013-12-23T00:00:00.000000000,2013-12-23T05:50:00.000000000,36,164.833,18.939,8.704
4556,seasonal_naive,2013-12-24T19:00:00.000000000,2013-12-25T00:50:00.000000000,36,141.819,20.512,6.914
4556,seasonal_naive,2013-12-27T19:40:00.000000000,2013-12-28T01:30:00.000000000,36,126.524,28.907,4.377
4556,harmonic_arima,2013-12-25T18:10:00.000000000,2013-12-26T00:00:00.000000000,36,64.52,55.069,1.172
4556,harmonic_arima,2013-12-24T17:20:00.000000000,2013-12-24T23:10:00.000000000,36,40.801,24.721,1.65
4556,harmonic_arima,2013-12-27T18:50:00.000000000,2013-12-28T00:40:00.000000000,36,39.347,33.044,1.191
4556,lightgbm,2013-12-26T05:10:00.000000000,2013-12-26T11:00:00.000000000,36,106.769,17.578,6.074
4556,lightgbm,2013-12-29T04:10:00.000000000,2013-12-29T10:00:00.000000000,36,104.601,14.271,7.329
4556,lightgbm,2013-12-25T04:20:00.000000000,2013-12-25T10:10:00.000000000,36,97.616,13.864,7.041
4556,lstm,2013-12-26T10:50:00.000000000,2013-12-26T16:40:00.000000000,36,83.521,21.175,3.944
4556,lstm,2013-12-25T12:50:00.000000000,2013-12-25T18:40:00.000000000,36,82.547,26.584,3.105
4556,lstm,2014-01-01T11:30:00.000000000,2014-01-01T17:20:00.000000000,36,81.742,28.204,2.898
